Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
119110-53095,QB,Kyle,Kyle Allen,Allen,0.379999995,2,6000,DET@GB,DET,GB,,,,,,QB
119110-88937,QB,Carter,Carter Bradley,Bradley,,0,6000,SF@SEA,SF,SEA,,,,,,QB
119110-104306,QB,Kurtis,Kurtis Rourke,Rourke,,0,6000,SF@SEA,SF,SEA,O,Knee,,,,QB
119110-92020,QB,Kenny,Kenny Pickett,Pickett,3.634285791,7,6000,CIN@CLE,CLE,CIN,Q,Hamstring,,,,QB
119110-184183,QB,Shedeur,Shedeur Sanders,Sanders,,0,6000,CIN@CLE,CLE,CIN,,,,,,QB
119110-56192,QB,John,John Wolford,Wolford,0,1,6000,CAR@JAC,JAC,CAR,,,,,,QB
119110-14225,QB,Andy,Andy Dalton,Dalton,9.708571298,7,6000,CAR@JAC,CAR,JAC,Q,Elbow,,,,QB
119110-85983,QB,Hendon,Hendon Hooker,Hooker,0.670000017,4,6000,DET@GB,DET,GB,,,,,,QB
119110-92133,QB,Jason,Jason Bean,Bean,,0,6000,MIA@IND,IND,MIA,,,,,,QB
119110-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,10.1352943,17,5900,NYG@WAS,NYG,WAS,,,,,,RB/FLEX
119110-105646,TE,Sam,Sam LaPorta,LaPorta,9.511764526,17,5900,DET@GB,DET,GB,,,,,,TE/FLEX
119110-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,8.581250191,16,5900,MIA@IND,IND,MIA,,,,,,WR/FLEX
119110-87770,WR,Chris,Chris Olave,Olave,7.962500095,8,5900,ARI@NO,NO,ARI,,,,,,WR/FLEX
119110-69777,WR,Darnell,Darnell Mooney,Mooney,10.44999981,16,5800,TB@ATL,ATL,TB,Q,Shoulder,,,,WR/FLEX
119110-89455,WR,Jayden,Jayden Reed,Reed,10.28333367,18,5800,DET@GB,GB,DET,Q,Foot,,,,WR/FLEX
119110-90533,RB,Jerome,Jerome Ford,Ford,8.25,14,5800,CIN@CLE,CLE,CIN,,,,,,RB/FLEX
119110-55335,TE,David,David Njoku,Njoku,10.59090909,11,5700,CIN@CLE,CLE,CIN,,,,,,TE/FLEX
